Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History
0,5500,0.0,105.0,360.0,0.0
0,2423,505.0,130.0,360.0,1.0
0,3813,0.0,116.0,180.0,1.0
1,3875,0.0,67.0,360.0,1.0
0,3000,1666.0,100.0,480.0,0.0
1,4723,0.0,81.0,360.0,1.0
0,4750,2333.0,130.0,360.0,1.0
0,3013,3033.0,95.0,300.0,0
0,6822,0.0,141.0,360.0,1.0
0,6216,0.0,133.0,360.0,1.0
0,2500,0.0,96.0,480.0,1.0
0,5124,0.0,124.0,0,0.0
1,3062,1987.0,111.0,180.0,0.0
0,2764,1459.0,110.0,360.0,1.0
0,4817,923.0,120.0,180.0,1.0
3,8750,4996.0,130.0,360.0,1.0
0,4310,0.0,130.0,360.0,0
0,3069,0.0,71.0,480.0,1.0
2,5391,0.0,130.0,360.0,1.0
0,3333,2500.0,128.0,360.0,1.0
0,7167,0.0,128.0,360.0,1.0
2,4566,0.0,100.0,360.0,1.0
1,3667,0.0,113.0,180.0,1.0
0,2346,1600.0,132.0,360.0,1.0
0,2333,2417.0,136.0,360.0,1.0
0,5488,0.0,125.0,360.0,1.0
0,2583,2115.0,120.0,360.0,0
2,1993,1625.0,113.0,180.0,1.0
2,3100,1400.0,113.0,360.0,1.0
2,3276,484.0,135.0,360.0,0
0,3180,0.0,71.0,360.0,0.0
0,3033,1459.0,95.0,360.0,1.0
0,3902,1666.0,109.0,360.0,1.0
0,1500,1800.0,103.0,360.0,0.0
2,2889,0.0,45.0,180.0,0.0
0,2755,0.0,65.0,300.0,1.0
0,2500,20000.0,103.0,360.0,1.0
0,1963,0.0,53.0,360.0,1.0
0,4547,0.0,115.0,360.0,1.0
0,2167,2400.0,115.0,360.0,1.0
0,2213,0.0,66.0,360.0,1.0
1,3867,0.0,62.0,360.0,1.0
0,2253,2033.0,110.0,360.0,1.0
0,2995,0.0,60.0,360.0,1.0
0,1025,2773.0,112.0,360.0,1.0
0,3246,1417.0,138.0,360.0,1.0
0,5829,0.0,138.0,360.0,1.0
0,2720,0.0,80.0,0,0.0
0,1820,1719.0,100.0,360.0,1.0
1,7250,1667.0,110.0,0,0.0
0,2666,4300.0,121.0,360.0,1.0
1,4606,0.0,81.0,360.0,1.0
2,5935,0.0,133.0,360.0,1.0
0,2920,16.12,87.0,360.0,1.0
0,2717,0.0,60.0,180.0,1.0
1,8624,0.0,150.0,360.0,1.0
0,6500,0.0,105.0,360.0,0.0
0,2425,2340.0,143.0,360.0,1.0
0,3750,0.0,100.0,360.0,1.0
0,1926,1851.0,50.0,360.0,1.0
0,7142,0.0,138.0,360.0,1.0
3,4707,1993.0,148.0,360.0,1.0
1,3466,1210.0,130.0,360.0,1.0
2,4652,0.0,110.0,360.0,1.0
0,3539,1376.0,55.0,360.0,1.0
2,3340,1710.0,150.0,360.0,0.0
2,2309,1255.0,125.0,360.0,0.0
2,1958,1456.0,60.0,300.0,0
0,3948,1733.0,149.0,360.0,0.0
0,2483,2466.0,90.0,180.0,0.0
0,7085,0.0,84.0,360.0,1.0
2,3859,0.0,96.0,360.0,1.0
0,4301,0.0,118.0,360.0,1.0
2,4354,0.0,136.0,360.0,1.0
3,7740,0.0,128.0,180.0,1.0
1,5191,0.0,132.0,360.0,1.0
0,4166,0.0,98.0,360.0,0.0
0,6000,0.0,140.0,360.0,1.0
3,2947,1664.0,70.0,180.0,0.0
2,210,2917.0,98.0,360.0,1.0
0,4333,2451.0,110.0,360.0,1.0
1,2653,1500.0,113.0,180.0,0.0
3,4691,0.0,100.0,360.0,1.0
0,2500,0.0,93.0,360.0,0
2,2873,1872.0,132.0,360.0,0.0
3,3095,0.0,113.0,360.0,1.0
0,2083,3150.0,128.0,360.0,1.0
1,1958,2436.0,131.0,360.0,1.0
2,3547,0.0,80.0,360.0,0.0
0,2435,0.0,75.0,360.0,1.0
0,2699,2785.0,96.0,360.0,0
0,3691,0.0,110.0,360.0,1.0
0,3597,2157.0,119.0,360.0,0.0
1,3326,913.0,105.0,84.0,1.0
0,2600,1700.0,107.0,360.0,1.0
0,4625,2857.0,111.0,12.0,0
1,2895,0.0,95.0,360.0,1.0
0,645,3683.0,113.0,480.0,1.0
0,3159,0.0,100.0,360.0,1.0
1,4050,5302.0,138.0,360.0,0
0,3814,1483.0,124.0,300.0,1.0
0,3583,0.0,96.0,360.0,1.0
0,3598,1287.0,100.0,360.0,1.0
2,3283,2035.0,148.0,360.0,1.0
0,2130,6666.0,70.0,180.0,1.0
3,3466,3428.0,150.0,360.0,1.0
2,2031,1632.0,113.0,480.0,1.0
0,3074,1800.0,123.0,360.0,0.0
0,3400,0.0,95.0,360.0,1.0
2,2192,1742.0,45.0,360.0,1.0
0,2500,0.0,55.0,360.0,1.0
3,5677,1424.0,100.0,360.0,1.0
0,3775,0.0,110.0,360.0,1.0
1,2679,1302.0,94.0,360.0,1.0
0,6783,0.0,130.0,360.0,1.0
3,4281,0.0,100.0,360.0,1.0
2,3588,0.0,110.0,360.0,0.0
0,2550,2042.0,126.0,360.0,1.0
2,3617,0.0,107.0,360.0,1.0
0,2917,536.0,66.0,360.0,1.0
1,4608,2845.0,140.0,180.0,1.0
0,2138,0.0,99.0,360.0,0.0
1,3652,0.0,95.0,360.0,1.0
1,2239,2524.0,128.0,360.0,1.0
0,3017,663.0,102.0,360.0,0
0,3358,0.0,80.0,36.0,1.0
0,2526,1783.0,145.0,360.0,1.0
0,5000,0.0,103.0,360.0,0.0
0,2785,2016.0,110.0,360.0,1.0
0,3593,4266.0,132.0,180.0,0.0
1,5468,1032.0,26.0,360.0,1.0
0,2667,1625.0,84.0,360.0,0
2,3675,242.0,108.0,360.0,1.0
0,5800,0.0,132.0,360.0,1.0
0,4467,0.0,120.0,360.0,0
0,3333,0.0,70.0,360.0,1.0
3,3400,2500.0,123.0,360.0,0.0
0,2378,0.0,9.0,360.0,1.0
0,3166,2064.0,104.0,360.0,0.0
3,6406,0.0,150.0,360.0,1.0
2,3159,461.0,108.0,84.0,1.0
0,3087,2210.0,136.0,360.0,0.0
0,3229,2739.0,110.0,360.0,1.0
1,1782,2232.0,107.0,360.0,1.0
0,1836,33837.0,90.0,360.0,1.0
0,3166,0.0,36.0,360.0,1.0
1,1880,0.0,61.0,360.0,0
1,2787,1917.0,146.0,360.0,0.0
0,2297,1522.0,104.0,360.0,1.0
0,2165,0.0,70.0,360.0,1.0
0,4750,0.0,94.0,360.0,1.0
2,2726,0.0,106.0,360.0,0.0
0,3000,3416.0,56.0,180.0,1.0
0,3859,3300.0,142.0,180.0,1.0
0,3833,0.0,110.0,360.0,1.0
0,2987,0.0,88.0,360.0,0.0
3,5703,0.0,128.0,360.0,1.0
0,3232,1950.0,108.0,360.0,1.0
0,2900,0.0,71.0,360.0,1.0
3,4106,0.0,40.0,180.0,1.0
0,4583,0.0,133.0,360.0,0.0
